name,link
Power Generation/Distribution,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/power-generationdistribution.html
Printing & Publishing,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/printing-publishing.html
Printing & Stationery,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/printing-stationery.html
Printing And Publishing,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/printing-and-publishing.html
Railways Wagons,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/railways-wagons.html
Ratings,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/ratings.html
Real Estate Operations,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/real-estate-operations.html
"Real Estate Rental, Development & Operations",https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/real-estate-rental-development-operations.html
Refineries,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/refineries.html
Refractories,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/refractories.html
Reinsurance,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/reinsurance.html
Renewables,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/renewables.html
Retailing,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/retailing.html
Rubber  Products,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/rubber-products.html
Ship Building,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/ship-building.html
Shipping,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/shipping.html
Software,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/software.html
Solvent  Extraction,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/solvent-extraction.html
Speciality Chemicals,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/speciality-chemicals.html
Speciality Retailers,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/speciality-retailers.html
Specialty Mining & Metals,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/specialty-mining-metals.html
Sugar,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/sugar.html
Tea/Coffee,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/teacoffee.html
Telecommunication - Equipment,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/telecommunication-equipment.html
Telecommunication - Service Provider,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/telecommunication-service-provider.html
Telecommunications Services,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/telecommunications-services.html
Textile - Machinery,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/textile-machinery.html
Textile - Spinning,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/textile-spinning.html
Textiles,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/textiles.html
Textiles & Apparel,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/textiles-apparel.html
Trading,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/trading.html
Transmission Towers / Equipments,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/transmission-towers-equipments.html
Transport Infrastructure,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/transport-infrastructure.html
Travel Services,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/travel-services.html
TV Broadcasting & Software Production,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/tv-broadcasting-software-production.html
Vegetable Oils & Products,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/vegetable-oils-products.html
Watches & Accessories,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/watches-accessories.html
Wood & Wood Products,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/wood-wood-products.html
