datetime,pos,neg,neu
30-01-2024 14:02,[0.9399337768554688],[0.03305387869477272],[0.02701243944466114]
30-01-2024 14:04,[0.9434958100318909],[0.028473136946558952],[0.02803105302155018]
30-01-2024 14:10,"[0.9355129599571228, 0.9355129599571228]","[0.016267236322164536, 0.016267236322164536]","[0.048219818621873856, 0.048219818621873856]"
30-01-2024 14:18,"[0.009164278395473957, 0.009164278395473957]","[0.9741082191467285, 0.9741082191467285]","[0.016727451235055923, 0.016727451235055923]"
30-01-2024 14:20,[0.9453639984130859],[0.01574202999472618],[0.038893960416316986]
30-01-2024 14:52,"[0.9502422213554382, 0.9502422213554382]","[0.021278249099850655, 0.021278249099850655]","[0.028479604050517082, 0.028479604050517082]"
30-01-2024 14:54,[0.03568617254495621],[0.05405430868268013],[0.9102595448493958]
30-01-2024 15:05,[0.9506102800369263],[0.022445064038038254],[0.026944655925035477]
30-01-2024 15:25,"[0.945159375667572, 0.945159375667572]","[0.026781486347317696, 0.026781486347317696]","[0.028059134259819984, 0.028059134259819984]"
30-01-2024 15:27,[0.05045146867632866],[0.012291145510971546],[0.9372573494911194]
30-01-2024 15:34,[0.9535277485847473],[0.020008854568004608],[0.026463398709893227]
30-01-2024 15:39,"[0.03701208159327507, 0.03701208159327507]","[0.7882465720176697, 0.7882465720176697]","[0.17474137246608734, 0.17474137246608734]"
30-01-2024 15:49,[0.026876652613282204],[0.02953844889998436],[0.9435848593711853]
30-01-2024 15:51,"[0.03145859017968178, 0.03145859017968178]","[0.9457781910896301, 0.9457781910896301]","[0.022763242945075035, 0.022763242945075035]"
30-01-2024 16:04,[0.01932164654135704],[0.026516104117035866],[0.9541622400283813]
30-01-2024 16:10,"[0.061825353652238846, 0.061825353652238846]","[0.8771981596946716, 0.8771981596946716]","[0.060976579785346985, 0.060976579785346985]"
30-01-2024 16:15,[0.9515028595924377],[0.01939803548157215],[0.029099106788635254]
30-01-2024 16:29,"[0.47469237446784973, 0.47469237446784973]","[0.3321765959262848, 0.3321765959262848]","[0.19313107430934906, 0.19313107430934906]"
30-01-2024 16:33,[0.00987630058079958],[0.9716481566429138],[0.018475517630577087]
30-01-2024 16:41,[0.10442276298999786],[0.8805415034294128],[0.015035669319331646]
30-01-2024 16:48,[0.0685635656118393],[0.44372400641441345],[0.48771238327026367]
30-01-2024 16:50,"[0.037041015923023224, 0.9511977434158325]","[0.049966808408498764, 0.02480342984199524]","[0.9129921793937683, 0.023998860269784927]"
30-01-2024 16:56,[0.17812582850456238],[0.7025898098945618],[0.11928433924913406]
30-01-2024 17:08,[0.04016267508268356],[0.04649191349744797],[0.9133453965187073]
30-01-2024 17:10,[0.02493537962436676],[0.03935873135924339],[0.9357059001922607]
30-01-2024 17:15,[0.007999716326594353],[0.966187596321106],[0.025812651962041855]
30-01-2024 17:29,[0.010358665138483047],[0.9696617722511292],[0.019979672506451607]
30-01-2024 18:03,[0.03944489359855652],[0.015590050257742405],[0.9449650645256042]
30-01-2024 18:04,[0.12190395593643188],[0.8649628758430481],[0.013133172877132893]
30-01-2024 18:34,[0.03273485600948334],[0.03463493660092354],[0.9326302409172058]
30-01-2024 18:46,[0.07638170570135117],[0.9105927348136902],[0.013025612570345402]
30-01-2024 19:32,"[0.9206395745277405, 0.9206395745277405]","[0.014192118309438229, 0.014192118309438229]","[0.06516826152801514, 0.06516826152801514]"
30-01-2024 20:31,[0.04853200912475586],[0.1363772302865982],[0.8150907754898071]
30-01-2024 21:20,"[0.9327934980392456, 0.9327934980392456]","[0.020302394405007362, 0.020302394405007362]","[0.04690418019890785, 0.04690418019890785]"
30-01-2024 22:05,[0.6873816847801208],[0.01259595900774002],[0.3000223636627197]
30-01-2024 22:17,"[0.04608839377760887, 0.03985388204455376]","[0.032768528908491135, 0.03468881547451019]","[0.921143114566803, 0.9254572987556458]"
30-01-2024 22:19,"[0.04068422317504883, 0.04462464898824692, 0.050403300672769547]","[0.06641852110624313, 0.047863174229860306, 0.036456070840358734]","[0.8928972482681274, 0.9075121879577637, 0.913140594959259]"
30-01-2024 22:39,"[0.21066424250602722, 0.15255416929721832, 0.18370012938976288, 0.13724564015865326, 0.16343991458415985, 0.11247394979000092, 0.09611157327890396]","[0.02768550254404545, 0.18036645650863647, 0.09088610857725143, 0.08997039496898651, 0.09970058500766754, 0.3644483685493469, 0.43873995542526245]","[0.7616502642631531, 0.6670793890953064, 0.7254137992858887, 0.7727839946746826, 0.7368595600128174, 0.523077666759491, 0.4651484489440918]"
30-01-2024 23:16,"[0.8002781271934509, 0.8002781271934509]","[0.01785239577293396, 0.01785239577293396]","[0.1818695068359375, 0.1818695068359375]"
30-01-2024 23:21,"[0.5838688015937805, 0.5838688015937805]","[0.012856253422796726, 0.012856253422796726]","[0.4032749831676483, 0.4032749831676483]"
30-01-2024 23:47,"[0.1208643987774849, 0.1208643987774849]","[0.7815877795219421, 0.7815877795219421]","[0.09754783660173416, 0.09754783660173416]"
30-01-2024 23:52,"[0.9433090686798096, 0.9433090686798096]","[0.026525836437940598, 0.026525836437940598]","[0.030165039002895355, 0.030165039002895355]"
31-01-2024 02:00,[0.012172232381999493],[0.965197741985321],[0.02262997254729271]
31-01-2024 05:55,"[0.9404670000076294, 0.48708632588386536, 0.8998908400535583, 0.9404670000076294]","[0.03647468239068985, 0.011706867255270481, 0.077669158577919, 0.03647468239068985]","[0.023058367893099785, 0.5012067556381226, 0.02243998274207115, 0.023058367893099785]"
31-01-2024 05:56,"[0.03950925171375275, 0.8987065553665161]","[0.9311851263046265, 0.07164725661277771]","[0.029305648058652878, 0.029646117240190506]"
31-01-2024 05:57,[0.9393517971038818],[0.01693926379084587],[0.0437089167535305]
31-01-2024 06:03,"[0.9426401257514954, 0.9426401257514954]","[0.024040082469582558, 0.024040082469582558]","[0.03331979364156723, 0.03331979364156723]"
31-01-2024 06:06,"[0.0319167859852314, 0.0319167859852314]","[0.023485492914915085, 0.023485492914915085]","[0.9445977210998535, 0.9445977210998535]"
31-01-2024 06:15,[0.02997690998017788],[0.1884620636701584],[0.7815609574317932]
31-01-2024 06:23,[0.01944422535598278],[0.9594337940216064],[0.021122030913829803]
31-01-2024 06:25,[0.08286774903535843],[0.0354238897562027],[0.8817083835601807]
31-01-2024 06:57,"[0.7820312976837158, 0.7820312976837158]","[0.0240594744682312, 0.0240594744682312]","[0.19390921294689178, 0.19390921294689178]"
31-01-2024 07:16,"[0.008266591466963291, 0.008266591466963291]","[0.9748088121414185, 0.9748088121414185]","[0.01692463457584381, 0.01692463457584381]"
31-01-2024 07:30,[0.8628942370414734],[0.008919910527765751],[0.12818588316440582]
31-01-2024 07:39,[0.06367477774620056],[0.013450123369693756],[0.9228751063346863]
31-01-2024 07:42,[0.307544469833374],[0.008480755612254143],[0.6839748024940491]
31-01-2024 07:44,[0.031153367832303047],[0.06338651478290558],[0.9054601192474365]
