"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP 100","23 Mar 2009","","","","1513.10"
"NIFTY SMALLCAP 100","20 Mar 2009","","","","1482.10"
"NIFTY SMALLCAP 100","19 Mar 2009","","","","1484.10"
"NIFTY SMALLCAP 100","18 Mar 2009","","","","1463.60"
"NIFTY SMALLCAP 100","17 Mar 2009","","","","1436.50"
"NIFTY SMALLCAP 100","16 Mar 2009","","","","1437.80"
"NIFTY SMALLCAP 100","13 Mar 2009","","","","1403.10"
"NIFTY SMALLCAP 100","12 Mar 2009","","","","1367.30"
"NIFTY SMALLCAP 100","09 Mar 2009","","","","1362.40"
"NIFTY SMALLCAP 100","06 Mar 2009","","","","1379.70"
"NIFTY SMALLCAP 100","05 Mar 2009","","","","1375.90"
"NIFTY SMALLCAP 100","04 Mar 2009","","","","1402.30"
"NIFTY SMALLCAP 100","03 Mar 2009","","","","1408.10"
"NIFTY SMALLCAP 100","02 Mar 2009","","","","1424.50"
"NIFTY SMALLCAP 100","27 Feb 2009","","","","1448.10"
"NIFTY SMALLCAP 100","26 Feb 2009","","","","1451.50"
"NIFTY SMALLCAP 100","25 Feb 2009","","","","1445.60"
"NIFTY SMALLCAP 100","24 Feb 2009","","","","1440.90"
"NIFTY SMALLCAP 100","20 Feb 2009","","","","1468.60"
"NIFTY SMALLCAP 100","19 Feb 2009","","","","1489.40"
"NIFTY SMALLCAP 100","18 Feb 2009","","","","1490.80"
"NIFTY SMALLCAP 100","17 Feb 2009","","","","1496.40"
"NIFTY SMALLCAP 100","16 Feb 2009","","","","1531.10"
"NIFTY SMALLCAP 100","13 Feb 2009","","","","1574.20"
"NIFTY SMALLCAP 100","12 Feb 2009","","","","1553.70"
"NIFTY SMALLCAP 100","11 Feb 2009","","","","1550.50"
"NIFTY SMALLCAP 100","10 Feb 2009","","","","1540.90"
"NIFTY SMALLCAP 100","09 Feb 2009","","","","1533.30"
"NIFTY SMALLCAP 100","06 Feb 2009","","","","1512.10"
"NIFTY SMALLCAP 100","05 Feb 2009","","","","1487.30"
"NIFTY SMALLCAP 100","04 Feb 2009","","","","1499.80"
"NIFTY SMALLCAP 100","03 Feb 2009","","","","1502.90"
"NIFTY SMALLCAP 100","02 Feb 2009","","","","1507.90"
"NIFTY SMALLCAP 100","30 Jan 2009","","","","1536.70"
"NIFTY SMALLCAP 100","29 Jan 2009","","","","1521.10"
"NIFTY SMALLCAP 100","28 Jan 2009","","","","1519.00"
"NIFTY SMALLCAP 100","27 Jan 2009","","","","1506.70"
"NIFTY SMALLCAP 100","23 Jan 2009","","","","1493.10"
"NIFTY SMALLCAP 100","22 Jan 2009","","","","1513.80"
"NIFTY SMALLCAP 100","21 Jan 2009","","","","1544.70"
"NIFTY SMALLCAP 100","20 Jan 2009","","","","1582.10"
"NIFTY SMALLCAP 100","19 Jan 2009","","","","1596.40"
"NIFTY SMALLCAP 100","16 Jan 2009","","","","1581.20"
"NIFTY SMALLCAP 100","15 Jan 2009","","","","1576.50"
"NIFTY SMALLCAP 100","14 Jan 2009","","","","1596.80"
"NIFTY SMALLCAP 100","13 Jan 2009","","","","1568.70"
"NIFTY SMALLCAP 100","12 Jan 2009","","","","1592.00"
"NIFTY SMALLCAP 100","09 Jan 2009","","","","1626.50"
"NIFTY SMALLCAP 100","07 Jan 2009","","","","1663.50"
"NIFTY SMALLCAP 100","06 Jan 2009","","","","1782.10"
"NIFTY SMALLCAP 100","05 Jan 2009","","","","1784.70"
"NIFTY SMALLCAP 100","02 Jan 2009","","","","1758.50"
"NIFTY SMALLCAP 100","01 Jan 2009","","","","1724.60"
"NIFTY SMALLCAP 100","31 Dec 2008","","","","1684.00"
"NIFTY SMALLCAP 100","30 Dec 2008","","","","1670.00"
"NIFTY SMALLCAP 100","29 Dec 2008","","","","1631.10"
"NIFTY SMALLCAP 100","26 Dec 2008","","","","1609.10"
"NIFTY SMALLCAP 100","24 Dec 2008","","","","1623.60"
"NIFTY SMALLCAP 100","23 Dec 2008","","","","1643.40"
"NIFTY SMALLCAP 100","22 Dec 2008","","","","1690.20"
"NIFTY SMALLCAP 100","19 Dec 2008","","","","1700.60"
"NIFTY SMALLCAP 100","18 Dec 2008","","","","1685.40"
"NIFTY SMALLCAP 100","17 Dec 2008","","","","1651.00"
"NIFTY SMALLCAP 100","16 Dec 2008","","","","1712.70"
"NIFTY SMALLCAP 100","15 Dec 2008","","","","1650.00"
"NIFTY SMALLCAP 100","12 Dec 2008","","","","1590.00"
"NIFTY SMALLCAP 100","11 Dec 2008","","","","1551.30"
"NIFTY SMALLCAP 100","10 Dec 2008","","","","1528.90"
"NIFTY SMALLCAP 100","08 Dec 2008","","","","1502.60"
"NIFTY SMALLCAP 100","05 Dec 2008","","","","1494.70"
"NIFTY SMALLCAP 100","04 Dec 2008","","","","1502.20"
"NIFTY SMALLCAP 100","03 Dec 2008","","","","1456.90"
"NIFTY SMALLCAP 100","02 Dec 2008","","","","1447.00"
"NIFTY SMALLCAP 100","01 Dec 2008","","","","1476.40"
"NIFTY SMALLCAP 100","28 Nov 2008","","","","1500.70"
"NIFTY SMALLCAP 100","26 Nov 2008","","","","1497.30"
"NIFTY SMALLCAP 100","25 Nov 2008","","","","1512.20"
"NIFTY SMALLCAP 100","24 Nov 2008","","","","1527.00"
"NIFTY SMALLCAP 100","21 Nov 2008","","","","1532.20"
"NIFTY SMALLCAP 100","20 Nov 2008","","","","1526.10"
"NIFTY SMALLCAP 100","19 Nov 2008","","","","1583.40"
"NIFTY SMALLCAP 100","18 Nov 2008","","","","1624.00"
"NIFTY SMALLCAP 100","17 Nov 2008","","","","1674.30"
"NIFTY SMALLCAP 100","14 Nov 2008","","","","1719.20"
"NIFTY SMALLCAP 100","12 Nov 2008","","","","1757.30"
"NIFTY SMALLCAP 100","11 Nov 2008","","","","1789.30"
"NIFTY SMALLCAP 100","10 Nov 2008","","","","1865.50"
"NIFTY SMALLCAP 100","07 Nov 2008","","","","1796.60"
"NIFTY SMALLCAP 100","06 Nov 2008","","","","1780.60"
"NIFTY SMALLCAP 100","05 Nov 2008","","","","1832.10"
"NIFTY SMALLCAP 100","04 Nov 2008","","","","1877.40"
"NIFTY SMALLCAP 100","03 Nov 2008","","","","1821.90"
"NIFTY SMALLCAP 100","31 Oct 2008","","","","1739.10"
"NIFTY SMALLCAP 100","29 Oct 2008","","","","1691.20"
"NIFTY SMALLCAP 100","28 Oct 2008","","","","1726.70"
"NIFTY SMALLCAP 100","27 Oct 2008","","","","1598.10"
"NIFTY SMALLCAP 100","24 Oct 2008","","","","1706.90"
"NIFTY SMALLCAP 100","23 Oct 2008","","","","1885.40"
"NIFTY SMALLCAP 100","22 Oct 2008","","","","1967.90"
"NIFTY SMALLCAP 100","21 Oct 2008","","","","2017.50"
"NIFTY SMALLCAP 100","20 Oct 2008","","","","1971.20"
"NIFTY SMALLCAP 100","17 Oct 2008","","","","2002.50"
"NIFTY SMALLCAP 100","16 Oct 2008","","","","2076.20"
"NIFTY SMALLCAP 100","15 Oct 2008","","","","2100.00"
"NIFTY SMALLCAP 100","14 Oct 2008","","","","2211.30"
"NIFTY SMALLCAP 100","13 Oct 2008","","","","2167.50"
"NIFTY SMALLCAP 100","10 Oct 2008","","","","2089.50"
"NIFTY SMALLCAP 100","08 Oct 2008","","","","2295.60"
"NIFTY SMALLCAP 100","07 Oct 2008","","","","2425.20"
"NIFTY SMALLCAP 100","06 Oct 2008","","","","2489.30"
"NIFTY SMALLCAP 100","03 Oct 2008","","","","2687.80"
"NIFTY SMALLCAP 100","01 Oct 2008","","","","2780.50"
"NIFTY SMALLCAP 100","30 Sep 2008","","","","2779.00"
"NIFTY SMALLCAP 100","29 Sep 2008","","","","2738.40"
"NIFTY SMALLCAP 100","26 Sep 2008","","","","2880.70"
"NIFTY SMALLCAP 100","25 Sep 2008","","","","2971.10"
"NIFTY SMALLCAP 100","24 Sep 2008","","","","3005.00"
"NIFTY SMALLCAP 100","23 Sep 2008","","","","2997.00"
"NIFTY SMALLCAP 100","22 Sep 2008","","","","3070.30"
"NIFTY SMALLCAP 100","19 Sep 2008","","","","3081.70"
"NIFTY SMALLCAP 100","18 Sep 2008","","","","3000.20"
"NIFTY SMALLCAP 100","17 Sep 2008","","","","3048.60"
"NIFTY SMALLCAP 100","16 Sep 2008","","","","3098.70"
"NIFTY SMALLCAP 100","15 Sep 2008","","","","3141.90"
"NIFTY SMALLCAP 100","12 Sep 2008","","","","3293.90"
"NIFTY SMALLCAP 100","11 Sep 2008","","","","3358.70"
"NIFTY SMALLCAP 100","10 Sep 2008","","","","3409.90"
"NIFTY SMALLCAP 100","09 Sep 2008","","","","3448.00"
"NIFTY SMALLCAP 100","08 Sep 2008","","","","3452.70"
"NIFTY SMALLCAP 100","05 Sep 2008","","","","3419.00"
"NIFTY SMALLCAP 100","04 Sep 2008","","","","3462.10"
"NIFTY SMALLCAP 100","02 Sep 2008","","","","3465.30"
"NIFTY SMALLCAP 100","01 Sep 2008","","","","3422.60"
"NIFTY SMALLCAP 100","29 Aug 2008","","","","3430.30"
"NIFTY SMALLCAP 100","28 Aug 2008","","","","3351.80"
"NIFTY SMALLCAP 100","27 Aug 2008","","","","3399.20"
"NIFTY SMALLCAP 100","26 Aug 2008","","","","3432.90"
